root,1,357,67434
cellular organisms,131567,0,64741
Bacteria,2,2249,64729
Terrabacteria group,1783272,127,62480
Firmicutes,1239,0,8385
Bacilli,91061,0,8365
Bacillales,1385,0,507
Staphylococcaceae,90964,0,505
Staphylococcus,1279,0,505
Staphylococcus epidermidis,1282,398,398
Staphylococcus haemolyticus,1283,81,81
Lactobacillales,186826,230,7850
Streptococcaceae,1300,0,1209
Lactococcus,1357,238,1202
Lactococcus lactis,1358,269,269
Lactococcus garvieae,1363,695,695
Enterococcaceae,81852,0,6421
Enterococcus,1350,131,6418
Enterococcus faecalis,1351,6287,6287
Actinobacteria,201174,0,54032
Actinomycetia,1760,0,54029
Bifidobacteriales,85004,0,54024
Bifidobacteriaceae,31953,0,54024
Bifidobacterium,1678,5114,54024
Bifidobacterium bifidum,1681,8201,8201
Bifidobacterium breve,1685,40643,40643
Bifidobacterium longum,216816,66,66
