root,1,919,40744
Viruses,10239,0,90
Duplodnaviria,2731341,0,88
Heunggongvirae,2731360,0,88
Uroviricota,2731618,0,88
Caudoviricetes,2731619,0,88
Caudovirales,28883,0,88
Myoviridae,10662,0,83
unclassified Myoviridae,196896,0,83
Myoviridae sp.,2202564,74,74
cellular organisms,131567,98,38940
Bacteria,2,136,38732
Proteobacteria,1224,0,38511
Gammaproteobacteria,1236,90,38505
Enterobacterales,91347,1085,38415
Enterobacteriaceae,543,3003,32970
Citrobacter,544,0,67
Citrobacter freundii complex,1344959,0,67
Citrobacter freundii,546,66,66
Enterobacter,547,0,179
Enterobacter cloacae complex,354276,165,165
Escherichia,561,0,67
Escherichia coli,562,66,66
Klebsiella,570,3072,29581
Klebsiella pneumoniae,573,26394,26394
Klebsiella quasipneumoniae,1463165,115,115
Salmonella,590,0,90
Salmonella enterica,28901,89,89
Yersiniaceae,1903411,0,81
Serratia,613,0,81
Serratia marcescens,615,80,80
Morganellaceae,1903414,0,4296
Proteus,583,0,4293
Proteus mirabilis,584,4280,4280
Terrabacteria group,1783272,46,91
Actinobacteria,201174,0,67
Actinomycetia,1760,0,67
Bifidobacteriales,85004,0,55
Bifidobacteriaceae,31953,0,55
Bifidobacterium,1678,0,55
Bifidobacterium breve,1685,45,45
Eukaryota,2759,0,121
Opisthokonta,33154,0,120
Metazoa,33208,0,119
Eumetazoa,6072,0,119
Bilateria,33213,0,119
Deuterostomia,33511,0,119
Chordata,7711,0,119
Craniata,89593,0,119
Vertebrata,7742,0,119
Gnathostomata,7776,0,119
Teleostomi,117570,0,119
Euteleostomi,117571,0,119
Sarcopterygii,8287,0,119
Dipnotetrapodomorpha,1338369,0,119
Tetrapoda,32523,0,119
Amniota,32524,0,119
Mammalia,40674,0,119
Theria,32525,0,119
Eutheria,9347,0,119
Boreoeutheria,1437010,0,119
Euarchontoglires,314146,0,119
Primates,9443,0,119
Haplorrhini,376913,0,119
Simiiformes,314293,0,119
Catarrhini,9526,0,119
Hominoidea,314295,0,119
Hominidae,9604,0,119
Homininae,207598,0,119
Homo,9605,0,110
Homo sapiens,9606,110,110
